;word;synonim
0;функция;['опция', 'назначение', 'роль', 'возможность', 'предназначение']
1;войско;['армия', 'рать', 'воинство', 'дружина', 'орда']
2;комиссия;['договор', 'совет', 'культкомиссия', 'медкомиссия', 'парткомиссия']
3;применение;['употребление', 'потребление', 'приспосабливание', 'правоприменение', 'приложение']
4;капитан;['командир', 'кэп', 'звание', 'чин', 'шкипер']
5;работник;['сотрудник', 'трудящийся', 'поденщик', 'служитель', 'труженик']
6;улыбнуться;[]
7;холодный;['прохладный', 'ледяной', 'студеный', 'морозный', 'рыбий']
8;обеспечение;['гарантирование', 'предоставление', 'снабжение', 'реализация', 'организация']
9;офицер;['штабист', 'слон', 'ага', 'ремонтер', 'корнет']
10;появляться;[]
11;конкретный;['определенный', 'положительный', 'четкий', 'неабстрактный', 'точный']
12;фамилия;['происхождение', 'род', 'семейство', 'семья', 'семейка']
13;предел;['лимит', 'граница', 'грань', 'рубеж', 'мера']
14;прямо;['напрямую', 'прямиком', 'напрямик', 'резко', 'неуклонно']
15;смеяться;[]
16;выборы;[]
17;иностранный;['зарубежный', 'чужеземный', 'заморский', 'иноязычный', 'иноплеменнический']
18;уехать;[]
19;ученый;['профессор', 'гелертер', 'наторелый', 'вежа', 'начетчик']
20;вроде;['точно', 'словно', 'наподобие', 'будто', 'пожалуй']
21;левый;['ультралевый', 'изнаночный', 'побочный', 'незаконный', 'неофициальный']
22;счастливый;['радостный', 'блаженный', 'везучий', 'благоденственный', 'благополучный']
23;бутылка;['штоф', 'четверть', 'четвертинка', 'дрексель', 'евробутылка']
24;бой;['битва', 'сражение', 'баталия', 'столкновение', 'стычка']
25;подходить;[]
26;судить;[]
27;родиться;[]
28;теория;['суждение', 'учение', 'доктрина', 'метатеория', 'построение']
29;зона;['пространство', 'область', 'район', 'участок', 'полоса']
30;отдел;['отделение', 'департамент', 'часть', 'служба', 'финотдел']
31;зуб;['резец', 'клык', 'моляр', 'зубец', 'премоляр']
32;разработка;['создание', 'подготовка', 'исполнение', 'исследование', 'проект']
33;отказаться;[]
34;святой;['священный', 'блаженный', 'непорочный', 'освященный', 'великомученик']
35;считаться;[]
36;точный;['достоверный', 'корректный', 'четкий', 'безошибочный', 'несомненный']
37;занять;[]
38;личность;['индивид', 'особа', 'персона', 'индивидуальность', 'лицо']
39;гора;['куча', 'гроулер', 'кибела', 'парнас', 'множество']
40;добавить;[]
41;товар;['изделие', 'продукт', 'продукция', 'канцтовары', 'промтовары']
42;звонить;[]
43;медленно;['неспешно', 'копотливо', 'потихоньку', 'мешкотно', 'протяжно']
44;носить;[]
45;метр;['единица', 'ямб', 'хорей', 'дактиль', 'амфибрахий']
46;начинаться;[]
47;зависеть;[]
48;праздник;['торжество', 'пир', 'веселье', 'вечеринка', 'празднование']
49;влияние;['воздействие', 'действие', 'авторитетность', 'престиж', 'сила']
50;построить;[]
51;читатель;['чтец']
52;частый;['неоднократный', 'многократный', 'нередкий', 'неединичный', 'дремучий']
53;удовольствие;['услада', 'наслаждение', 'восторг', 'веселье', 'радость']
54;актер;['артист', 'лицедей', 'гастролер', 'вагант', 'лицемер']
55;слеза;['слезинка', 'слезка', 'секрет', 'слезоньки']
56;создавать;['изобретать', 'делать', 'производить', 'придумывать', 'сотворить']
57;значительный;['заметный', 'изрядный', 'внушительный', 'ощутимый', 'ощутительный']
58;ответственность;['надежность', 'поручительство', 'обязательство', 'добросовестность', 'ручательство']
59;учитель;['преподаватель', 'педагог', 'наставник', 'математик', 'просветитель']
60;акт;['документ', 'циркуляр', 'кодекс', 'купчая', 'дело']
61;встретить;[]
62;принадлежать;[]
63;произнести;['сказать']
64;боль;['страдание', 'резь', 'ломота', 'мука', 'колика']
65;множество;['обилие', 'масса', 'море', 'изобилие', 'уйма']
66;связанный;['сопряженный', 'сплоченный', 'скрученный', 'обусловленный', 'обвязанный']
67;особенность;['специфика', 'характерность', 'свойство', 'специфичность', 'своеобразие']
68;участвовать;[]
69;показатель;['параметр', 'индекс', 'коэффициент', 'признак', 'норматив']
70;занимать;[]
71;корабль;['судно', 'лодка', 'каравелла', 'фрегат', 'катер']
72;уверенный;['авторитетный', 'победоносный', 'решительный', 'убежденный', 'удостоверенный']
73;звук;['шум', 'гудение', 'звучание', 'лязг', 'фляжолет']
74;тонкий;['легкий', 'грациозный', 'изящный', 'неплотный', 'ювелирный']
75;центральный;['серединный', 'коренной', 'главнейший', 'основной', 'главный']
76;впечатление;['чувство', 'ощущение', 'импрессия', 'отклик', 'мнение']
77;спокойно;['безмятежно', 'невозмутимо', 'умиротворенно', 'смирно', 'тихонько']
78;частность;['тонкость', 'подробность', 'мелочность', 'деталь', 'единичность']
79;детство;['юность', 'отрочество', 'младенчество', 'ребячество', 'малолетство']
80;вывод;['заключение', 'итог', 'результат', 'обобщение', 'увод']
81;профессор;['ученый', 'педагог', 'гелертер', 'знаток', 'мастак']
82;будущий;['грядущий', 'дальнейший', 'последующий', 'предстоящий', 'следующий']
83;доля;['часть', 'процент', 'пай', 'третина', 'звезда']
84;норма;['правило', 'величина', 'мера', 'порядок', 'принцип']
85;улыбаться;[]
86;прошлое;['былое', 'древность', 'быль', 'биография', 'житие']
87;возле;['близко', 'около', 'невдали', 'недалеко', 'недалече']
88;командир;['руководитель', 'коммодор', 'военачальник', 'капитан', 'патрон']
89;коридор;['предбанник', 'проход', 'коридорчик', 'пергола', 'дромос']
90;поддержка;['содействие', 'сохранение', 'взаимоподдержка', 'подпора', 'подсоба']
91;рамка;['оправа', 'обрамление', 'паспарту', 'декель', 'рашкет']
92;вскоре;['скоро', 'вкоротке', 'вскорости']
93;лучше;['правильнее', 'предпочтительнее', 'вернее', 'круче', 'скорее']
94;сквозь;['через', 'чрез', 'насквозь']
95;враг;['недруг', 'противник', 'супостат', 'агрессор', 'супротивник']
96;ладно;['якши', 'лады', 'ладушки', 'отлично', 'янысь']
97;этап;['стадия', 'ступень', 'шаг', 'фаза', 'путь']
98;черт;['сатана', 'шайтан', 'анчибел', 'анчутка', 'чертенок']
99;дед;['дедушка', 'старик', 'предок', 'дедулька', 'старикан']
100;направить;[]
101;собрание;['совокупность', 'коллекция', 'синклит', 'съезд', 'конгресс']
102;прием;['способ', 'хитрость', 'получение', 'уловка', 'средство']
103;физический;['микрофизический', 'материальный', 'агрофизический', 'электрофизический', 'общефизический']
104;болезнь;['недуг', 'заболевание', 'инсульт', 'недомогание', 'ишемия']
105;клетка;['торакс', 'гамета', 'акинета', 'фагоцит', 'базофил']
106;кожа;['покров', 'дерма', 'эпидермис', 'шкура', 'эпидерма']
107;заявление;['заявка', 'утверждение', 'сообщение', 'челобитная', 'обращение']
108;ради;['вследствие', 'для', 'чтобы', 'про']
109;попытка;['потуги', 'проба', 'испытание', 'прикидка', 'эксперимент']
110;сравнение;['сопоставление', 'аналогия', 'параллель', 'сверка', 'сличение']
111;только;['лишь', 'исключительно', 'всего', 'едва', 'единственно']
112;расчет;['подсчет', 'вычисление', 'счеты', 'проект', 'предположение']
113;когдато;[]
114;депутат;['парламентарий', 'законотворец', 'избранник', 'думец', 'представитель']
115;то;['мера', 'так', 'ведь']
116;частный;['свой', 'индивидуальный', 'приватный', 'особый', 'личный']
117;обратиться;[]
118;мелкий;['малюсенький', 'малозначащий', 'мухосранский', 'микроскопический', 'крохотный']
119;невозможно;['неосуществимо', 'невыносимо', 'недопустимо', 'нереально', 'нельзя']
120;английский;['великобританский', 'британский', 'аглицкий', 'англосаксонский']
121;постоянный;['непрерывный', 'перманентный', 'регулярный', 'безостановочный', 'неизменный']
122;комитет;['совет', 'спецкомитет', 'радиокомитет', 'шахтком', 'горком']
123;знак;['символ', 'признак', 'сигнал', 'метка', 'логотип']
124;выбрать;[]
125;примерно;['около', 'почти', 'например', 'эталонно', 'этак']
126;бить;['колотить', 'шлепать', 'лупить', 'избивать']
127;дядя;['дяденька', 'дядечка', 'дядище', 'дядюшка', 'дядько']
128;учет;['контроль', 'учитывание', 'таксация', 'перепись', 'регистрация']
129;хлеб;['хлебец', 'пури', 'лаваш', 'булка', 'калач']
130;тихий;['беззвучный', 'безмолвный', 'спокойный', 'безгласный', 'немой']
131;хватить;[]
132;обещать;[]
133;ли;['единица', 'династия']
134;встречаться;[]
135;чай;['напиток', 'заварка', 'чаевничанье', 'чифирь', 'настой']
136;режим;['система', 'способ', 'порядок', 'правила', 'устав']
137;целое;[]
138;вирус;['вредитель', 'реовирус', 'риновирус', 'энтеровирус', 'ультравирус']
139;гораздо;['значительно', 'бесконечно', 'намного', 'много', 'неизмеримо']
140;тридцать;['число', 'тридцатка', 'тридцатник']
141;выражение;['высказывание', 'оборот', 'обозначение', 'эвфемизм', 'фраза']
142;напоминать;[]
143;уж;['змея', 'уже', 'медянка', 'полоз', 'река']
144;неожиданно;['внезапно', 'нежданно', 'врасплох', 'вдруг', 'спонтанно']
